Entidad,Municipio, API_CODE
Chiapas ,Acacoyagua ,SE41273
Chiapas ,Acala ,SE41274
Chiapas ,Acapetahua ,SE41275
Chiapas ,Aldama ,SE41276
Chiapas ,Altamirano ,SE41277
Chiapas ,Amatán ,SE41278
Chiapas ,Amatenango de la Frontera ,SE41279
Chiapas ,Amatenango del Valle ,SE41280
Chiapas ,Angel Albino Corzo ,SE41281
Chiapas ,Arriaga ,SE41282
Chiapas ,Bejucal de Ocampo ,SE41283
Chiapas ,Bella Vista ,SE41284
Chiapas ,Benemérito de las Américas ,SE41285
Chiapas ,Berriozábal ,SE41286
Chiapas ,Bochil ,SE41287
Chiapas ,Cacahoatán ,SE41288
Chiapas ,Catazajá ,SE41289
Chiapas ,Chalchihuitán ,SE41290
Chiapas ,Chamula ,SE41291
Chiapas ,Chanal ,SE41292
Chiapas ,Chapultenango ,SE41293
Chiapas ,Chenalhó ,SE41294
Chiapas ,Chiapa de Corzo ,SE41295
Chiapas ,Chiapilla ,SE41296
Chiapas ,Chicoasén ,SE41297
Chiapas ,Chicomuselo ,SE41298
Chiapas ,Chilón ,SE41299
Chiapas ,Cintalapa ,SE41300
Chiapas ,Coapilla ,SE41301
Chiapas ,Comitán de Domínguez ,SE41302
Chiapas ,Copainalá ,SE41303
Chiapas ,El Bosque ,SE41304
Chiapas ,El Porvenir ,SE41305
Chiapas ,Escuintla ,SE41306
Chiapas ,Francisco León ,SE41307
Chiapas ,Frontera Comalapa ,SE41308
Chiapas ,Frontera Hidalgo ,SE41309
Chiapas ,Huehuetán ,SE41310
Chiapas ,Huitiupán ,SE41311
Chiapas ,Huixtán ,SE41312
Chiapas ,Huixtla ,SE41313
Chiapas ,Ixhuatán ,SE41314
Chiapas ,Ixtacomitán ,SE41315
Chiapas ,Ixtapa ,SE41316
Chiapas ,Ixtapangajoya ,SE41317
Chiapas ,Jiquipilas ,SE41318
Chiapas ,Jitotol ,SE41319
Chiapas ,Juárez ,SE41320
Chiapas ,La Concordia ,SE41321
Chiapas ,La Grandeza ,SE41322
Chiapas ,La Independencia ,SE41323
Chiapas ,La Libertad ,SE41324
Chiapas ,La Trinitaria ,SE41325
Chiapas ,Larráinzar ,SE41326
Chiapas ,Las Margaritas ,SE41327
Chiapas ,Las Rosas ,SE41328
Chiapas ,Mapastepec ,SE41329
Chiapas ,Maravilla Tenejapa ,SE41330
Chiapas ,Marqués de Comillas ,SE41331
Chiapas ,Mazapa de Madero ,SE41332
Chiapas ,Mazatán ,SE41333
Chiapas ,Metapa ,SE41334
Chiapas ,Mitontic ,SE41335
Chiapas ,Montecristo de Guerrero ,SE41336
Chiapas ,Motozintla ,SE41337
Chiapas ,Nicolás Ruiz ,SE41338
Chiapas ,Ocosingo ,SE41339
Chiapas ,Ocotepec ,SE41340
Chiapas ,Ocozocoautla de Espinosa ,SE41341
Chiapas ,Ostuacán ,SE41342
Chiapas ,Osumacinta ,SE41343
Chiapas ,Oxchuc ,SE41344
